0, 0.17, 0.15, 0.02
150, 0.15, 0.14, 0.00
302, 0.15, 0.14, 0.01
453, 0.15, 0.14, 0.00
605, 0.15, 0.14, 0.00
756, 0.14, 0.15, -0.00
908, 0.15, 0.15, -0.00
1059, 0.15, 0.14, 0.00
1211, 0.15, 0.14, 0.00
1362, 0.15, 0.15, 0.00
1514, 0.15, 0.14, 0.00
1666, 0.15, 0.15, 0.00
1817, 0.15, 0.14, 0.00
1969, 0.15, 0.15, 0.00
2120, 0.15, 0.15, 0.00
2272, 0.15, 0.14, 0.00
2423, 0.02, 0.00, 0.02
2575, 0.04, 0.01, 0.03
2726, 0.05, 0.01, 0.04
2877, 0.05, 0.02, 0.03
3028, 0.05, 0.02, 0.03
3180, 0.05, 0.01, 0.03
3332, 0.05, 0.01, 0.04
3483, 0.06, 0.02, 0.04
3635, 0.05, 0.01, 0.03
3786, 0.04, 0.01, 0.03
3938, 0.05, 0.02, 0.03
4089, 0.05, 0.02, 0.03
4241, 0.04, 0.01, 0.03
4392, 0.05, 0.02, 0.03
4544, 0.06, 0.02, 0.04
4696, 0.05, 0.01, 0.04
4847, 0.05, 0.01, 0.04
4999, 0.05, 0.01, 0.03
5150, 0.05, 0.02, 0.02
5302, 0.06, 0.02, 0.04
5453, 0.05, 0.02, 0.03
5605, 0.06, 0.02, 0.03
5756, 0.05, 0.02, 0.03
5908, 0.05, 0.02, 0.02
6060, 0.04, 0.01, 0.03
6211, 0.05, 0.02, 0.03
6363, 0.05, 0.02, 0.03
6514, 0.05, 0.01, 0.04
6666, 0.05, 0.02, 0.03
6816, 0.05, 0.02, 0.03
6968, 0.05, 0.02, 0.03
7119, 0.04, 0.02, 0.02
7271, 0.05, 0.01, 0.04
7422, 0.05, 0.01, 0.04
7574, 0.05, 0.01, 0.04
7726, 0.05, 0.02, 0.03
7877, 0.05, 0.03, 0.02
8029, 0.06, 0.02, 0.03
8180, 0.05, 0.01, 0.04
8332, 0.06, 0.01, 0.04
8483, 0.05, 0.01, 0.04
8635, 0.05, 0.01, 0.04
8786, 0.05, 0.02, 0.03
8938, 0.05, 0.02, 0.03
9090, 0.05, 0.02, 0.03
9241, 0.01, 0.01, -0.00
9393, 0.05, 0.01, 0.04
9544, 0.06, 0.02, 0.04
9696, 0.05, 0.02, 0.03
9847, 0.06, 0.01, 0.05
9999, 0.05, 0.01, 0.03
10150, 0.05, 0.01, 0.04
10302, 0.05, 0.02, 0.03
10454, 0.05, 0.01, 0.04
10605, 0.05, 0.02, 0.03
10757, 0.05, 0.01, 0.04
10908, 0.06, 0.03, 0.03
11060, 0.05, 0.01, 0.04
11211, 0.05, 0.02, 0.02
11363, 0.05, 0.01, 0.04
11514, 0.05, 0.02, 0.03
11666, 0.05, 0.02, 0.03
11817, 0.05, 0.01, 0.04
11969, 0.06, 0.02, 0.04
12121, 0.05, 0.02, 0.03
12272, 0.06, 0.01, 0.05
12424, 0.05, 0.01, 0.04
12575, 0.05, 0.02, 0.03
12727, 0.06, 0.02, 0.03
12878, 0.09, 0.02, 0.07
13030, 0.06, 0.02, 0.04
13181, 0.05, 0.02, 0.03
13333, 0.06, 0.02, 0.03
13485, 0.05, 0.01, 0.04
13636, 0.05, 0.01, 0.04
13788, 0.06, 0.02, 0.04
13939, 0.04, 0.01, 0.03
14091, 0.05, 0.03, 0.02
14242, 0.05, 0.01, 0.03
14394, 0.11, 0.02, 0.09
14545, 0.05, 0.02, 0.03
14697, 0.05, 0.02, 0.03
14849, 0.06, 0.01, 0.04
15000, 0.05, 0.03, 0.02
15152, 0.06, 0.02, 0.04
15303, 0.05, 0.02, 0.03
15455, 0.06, 0.02, 0.04
15606, 0.05, 0.01, 0.04
15758, 0.05, 0.02, 0.03
15909, 0.05, 0.02, 0.03
16061, 0.05, 0.03, 0.02
16212, 0.06, 0.01, 0.04
16364, 0.05, 0.01, 0.04
16516, 0.05, 0.02, 0.03
16667, 0.05, 0.01, 0.04
16819, 0.05, 0.02, 0.03
16970, 0.06, 0.02, 0.04
17122, 0.06, 0.01, 0.04
17273, 0.05, 0.01, 0.03
17425, 0.05, 0.02, 0.03
17576, 0.05, 0.02, 0.03
17728, 0.05, 0.02, 0.03
17880, 0.05, 0.02, 0.03
18031, 0.06, 0.02, 0.04
18183, 0.06, 0.02, 0.03
18334, 0.05, 0.02, 0.03
18486, 0.05, 0.01, 0.03
18637, 0.05, 0.02, 0.03
18789, 0.05, 0.01, 0.04
18940, 0.05, 0.01, 0.04
19092, 0.05, 0.03, 0.02
19244, 0.05, 0.01, 0.04
19395, 0.05, 0.03, 0.02
19547, 0.05, 0.01, 0.03
19698, 0.05, 0.02, 0.03
19850, 0.05, 0.02, 0.03
20001, 0.05, 0.01, 0.04
20153, 0.05, 0.02, 0.03
20304, 0.05, 0.02, 0.02
20456, 0.03, 0.03, 0.00
20608, 0.05, 0.02, 0.02
20759, 0.05, 0.01, 0.03
20911, 0.06, 0.02, 0.04
21062, 0.06, 0.02, 0.03
21214, 0.05, 0.02, 0.03
21365, 0.06, 0.01, 0.05
21517, 0.06, 0.02, 0.03
21668, 0.05, 0.01, 0.03
21820, 0.06, 0.02, 0.03
21971, 0.06, 0.03, 0.03
22123, 0.05, 0.02, 0.03
22275, 0.06, 0.02, 0.03
22426, 0.05, 0.02, 0.03
22578, 0.06, 0.03, 0.03
22729, 0.05, 0.01, 0.04
22881, 0.06, 0.02, 0.03
23032, 0.05, 0.02, 0.03
23184, 0.05, 0.01, 0.04
23335, 0.06, 0.01, 0.04
23487, 0.05, 0.02, 0.02
23639, 0.06, 0.02, 0.04
23790, 0.05, 0.02, 0.03
23942, 0.06, 0.01, 0.04
24093, 0.06, 0.01, 0.04
24245, 0.05, 0.01, 0.04
24396, 0.06, 0.02, 0.04
24548, 0.05, 0.01, 0.04
24699, 0.05, 0.02, 0.03
24851, 0.06, 0.01, 0.05
25003, 0.05, 0.02, 0.03
25154, 0.05, 0.01, 0.03
25306, 0.06, 0.01, 0.04
25457, 0.05, 0.01, 0.04
25609, 0.05, 0.02, 0.03
25760, 0.06, 0.02, 0.04
25912, 0.05, 0.02, 0.03
26063, 0.06, 0.02, 0.04
26215, 0.05, 0.02, 0.03
26366, 0.02, 0.03, -0.00
26518, 0.06, 0.02, 0.04
26670, 0.05, 0.02, 0.02
26821, 0.06, 0.02, 0.04
26973, 0.06, 0.02, 0.03
27124, 0.06, 0.02, 0.03
27276, 0.06, 0.02, 0.04
27427, 0.05, 0.01, 0.04
27579, 0.06, 0.02, 0.04
27730, 0.05, 0.03, 0.02
27882, 0.06, 0.02, 0.04
28034, 0.06, 0.02, 0.04
28185, 0.06, 0.01, 0.04
28337, 0.05, 0.02, 0.03
28488, 0.06, 0.02, 0.03
28640, 0.05, 0.02, 0.03
28791, 0.05, 0.01, 0.04
28943, 0.06, 0.02, 0.03
29094, 0.06, 0.02, 0.04
29246, 0.05, 0.02, 0.02
29398, 0.06, 0.03, 0.03
29549, 0.05, 0.02, 0.03
29701, 0.06, 0.01, 0.04
29852, 0.05, 0.01, 0.04
30004, 0.06, 0.02, 0.03
30155, 0.06, 0.02, 0.04
30307, 0.05, 0.02, 0.03
30458, 0.06, 0.02, 0.03
30610, 0.06, 0.02, 0.03
30761, 0.05, 0.02, 0.03
30913, 0.05, 0.02, 0.03
31065, 0.05, 0.02, 0.03
31216, 0.06, 0.02, 0.04
31368, 0.05, 0.02, 0.03
31519, 0.07, 0.01, 0.06
31671, 0.05, 0.01, 0.04
31822, 0.05, 0.02, 0.03
31974, 0.06, 0.01, 0.04
32125, 0.04, 0.02, 0.02
32277, 0.05, 0.02, 0.03
32429, 0.05, 0.02, 0.03
32580, 0.05, 0.02, 0.03
32732, 0.05, 0.01, 0.03
32883, 0.05, 0.01, 0.04
33035, 0.06, 0.02, 0.04
33186, 0.05, 0.02, 0.03
33338, 0.05, 0.02, 0.03
33489, 0.05, 0.02, 0.03
33641, 0.05, 0.01, 0.04
33793, 0.05, 0.02, 0.03
33944, 0.05, 0.02, 0.03
34096, 0.05, 0.01, 0.04
34247, 0.06, 0.02, 0.04
34399, 0.05, 0.02, 0.03
34550, 0.06, 0.02, 0.04
34702, 0.06, 0.01, 0.04
34853, 0.06, 0.02, 0.04
35005, 0.06, 0.02, 0.03
35156, 0.05, 0.01, 0.04
35308, 0.05, 0.02, 0.03
35460, 0.06, 0.02, 0.04
35611, 0.05, 0.02, 0.03
35763, 0.05, 0.02, 0.03
35914, 0.05, 0.02, 0.03
36066, 0.06, 0.02, 0.03
36217, 0.05, 0.02, 0.03
36369, 0.05, 0.02, 0.03
36520, 0.06, 0.02, 0.04
36672, 0.05, 0.02, 0.03
36824, 0.05, 0.02, 0.03
36975, 0.05, 0.01, 0.04
37127, 0.06, 0.02, 0.03
37278, 0.05, 0.01, 0.04
37430, 0.06, 0.02, 0.04
37581, 0.06, 0.02, 0.03
37733, 0.06, 0.01, 0.04
37884, 0.05, 0.03, 0.02
38036, 0.05, 0.01, 0.04
38188, 0.05, 0.02, 0.03
38339, 0.06, 0.01, 0.04
38491, 0.06, 0.01, 0.04
38642, 0.06, 0.02, 0.04
38794, 0.06, 0.01, 0.04
38945, 0.05, 0.02, 0.03
39097, 0.05, 0.01, 0.04
39248, 0.05, 0.01, 0.04
39400, 0.05, 0.01, 0.04
39552, 0.05, 0.02, 0.03
39703, 0.06, 0.02, 0.04
39855, 0.05, 0.02, 0.03
40006, 0.05, 0.01, 0.03
40158, 0.06, 0.01, 0.04
40309, 0.06, 0.02, 0.03
40461, 0.05, 0.01, 0.04
40612, 0.05, 0.01, 0.03
40764, 0.06, 0.02, 0.04
40915, 0.05, 0.03, 0.02
41067, 0.06, 0.02, 0.04
41219, 0.05, 0.01, 0.03
41370, 0.05, 0.02, 0.03
41522, 0.05, 0.03, 0.02
41673, 0.05, 0.01, 0.03
41825, 0.05, 0.03, 0.02
41976, 0.05, 0.01, 0.04
42128, 0.05, 0.03, 0.02
42279, 0.05, 0.01, 0.04
42431, 0.05, 0.02, 0.03
42583, 0.05, 0.02, 0.03
42734, 0.05, 0.01, 0.03
42886, 0.05, 0.02, 0.03
43037, 0.05, 0.02, 0.02
43189, 0.05, 0.02, 0.03
43340, 0.05, 0.02, 0.02
43492, 0.05, 0.01, 0.04
43643, 0.06, 0.02, 0.04
43795, 0.06, 0.02, 0.04
43947, 0.05, 0.03, 0.02
44098, 0.05, 0.01, 0.04
44250, 0.06, 0.02, 0.04
44401, 0.05, 0.01, 0.03
44553, 0.05, 0.01, 0.04
44704, 0.05, 0.02, 0.03
44856, 0.05, 0.01, 0.03
45007, 0.05, 0.03, 0.02
45159, 0.05, 0.01, 0.04
45310, 0.05, 0.02, 0.03
45462, 0.05, 0.02, 0.03
45614, 0.05, 0.02, 0.03
45765, 0.05, 0.02, 0.03
45917, 0.06, 0.02, 0.04
46068, 0.05, 0.02, 0.03
46220, 0.05, 0.02, 0.03
46371, 0.06, 0.02, 0.04
46523, 0.05, 0.01, 0.04
46674, 0.05, 0.01, 0.04
46826, 0.05, 0.02, 0.03
46978, 0.05, 0.01, 0.04
47129, 0.06, 0.02, 0.04
47281, 0.05, 0.00, 0.04
47432, 0.05, 0.02, 0.03
47584, 0.05, 0.01, 0.04
47735, 0.05, 0.02, 0.03
47887, 0.06, 0.02, 0.03
48038, 0.05, 0.01, 0.04
48190, 0.06, 0.02, 0.03
48342, 0.05, 0.02, 0.03
48493, 0.05, 0.03, 0.02
48645, 0.05, 0.01, 0.04
48796, 0.05, 0.02, 0.02
48948, 0.05, 0.02, 0.03
49099, 0.05, 0.02, 0.03
49251, 0.05, 0.01, 0.04
49402, 0.06, 0.01, 0.05
49554, 0.05, 0.02, 0.03
49705, 0.05, 0.02, 0.03
49857, 0.05, 0.02, 0.03
50009, 0.04, 0.02, 0.02
50160, 0.05, 0.03, 0.02
50312, 0.05, 0.01, 0.04
50463, 0.05, 0.02, 0.03
50615, 0.05, 0.02, 0.03
50766, 0.05, 0.02, 0.03
50918, 0.05, 0.02, 0.03
51069, 0.06, 0.02, 0.03
51221, 0.05, 0.00, 0.04
51373, 0.06, 0.02, 0.03
51524, 0.05, 0.02, 0.03
51676, 0.05, 0.02, 0.03
51827, 0.06, 0.02, 0.04
51979, 0.06, 0.02, 0.04
52130, 0.06, 0.02, 0.03
52282, 0.05, 0.01, 0.04
52433, 0.05, 0.01, 0.04
52585, 0.05, 0.02, 0.03
52737, 0.06, 0.02, 0.04
52888, 0.05, 0.01, 0.04
53040, 0.06, 0.01, 0.05
53191, 0.05, 0.01, 0.03
53343, 0.05, 0.02, 0.03
53494, 0.05, 0.01, 0.04
53646, 0.05, 0.02, 0.03
53797, 0.05, 0.01, 0.04
53949, 0.05, 0.02, 0.03
54100, 0.05, 0.02, 0.03
54252, 0.05, 0.02, 0.03
54404, 0.05, 0.01, 0.04
54555, 0.05, 0.02, 0.03
54707, 0.05, 0.02, 0.03
54858, 0.05, 0.02, 0.03
55010, 0.06, 0.02, 0.04
55161, 0.06, 0.02, 0.03
55313, 0.05, 0.01, 0.04
55464, 0.06, 0.02, 0.04
55616, 0.06, 0.02, 0.04
55768, 0.06, 0.01, 0.05
55919, 0.05, 0.01, 0.04
56071, 0.06, 0.01, 0.04
56222, 0.06, 0.02, 0.04
56374, 0.05, 0.01, 0.04
56525, 0.05, 0.02, 0.03
56677, 0.06, 0.01, 0.04
56828, 0.05, 0.02, 0.03
56980, 0.06, 0.02, 0.04
57132, 0.05, 0.01, 0.03
57284, 0.05, 0.01, 0.03
57436, 0.06, 0.02, 0.04
57587, 0.06, 0.02, 0.03
57739, 0.04, 0.02, 0.02
57890, 0.05, 0.02, 0.03
58042, 0.06, 0.01, 0.05
58193, 0.06, 0.02, 0.04
58345, 0.06, 0.01, 0.05
58497, 0.05, 0.02, 0.03
58648, 0.06, 0.02, 0.04
58800, 0.06, 0.02, 0.03
58951, 0.06, 0.02, 0.04
59103, 0.05, 0.02, 0.03
59254, 0.05, 0.01, 0.04
59406, 0.05, 0.01, 0.04
59557, 0.05, 0.02, 0.03
59709, 0.05, 0.01, 0.04
59860, 0.06, 0.02, 0.03
60012, 0.05, 0.01, 0.03
60164, 0.06, 0.02, 0.04
60315, 0.06, 0.02, 0.04
60467, 0.05, 0.01, 0.04
