time, tp_a, tp_b, diff
3631,0.01,0.05,-0.04
3654,0.01,0.03,-0.02
3677,0.0,0.03,-0.03
3699,0.0,0.03,-0.03
3723,0.01,0.03,-0.02
3745,0.0,0.03,-0.03
3768,0.01,0.04,-0.02
3791,0.0,0.04,-0.03
3814,0.01,0.05,-0.04
3836,0.01,0.04,-0.03
3860,0.0,0.04,-0.03
3883,0.01,0.06,-0.05
3905,0.01,0.06,-0.05
3929,0.01,0.05,-0.04
3951,0.02,0.05,-0.03
3974,0.0,0.04,-0.04
3997,0.01,0.05,-0.04
4020,0.0,0.06,-0.05
4042,0.01,0.05,-0.04
4066,0.01,0.05,-0.03
4088,0.02,0.05,-0.03
4111,0.0,0.05,-0.04
4134,0.01,0.04,-0.03
4157,0.0,0.05,-0.04
4180,0.0,0.03,-0.03
4203,0.0,0.05,-0.04
4226,0.0,0.05,-0.04
4249,0.0,0.04,-0.04
4272,0.0,0.04,-0.03
4294,0.01,0.04,-0.03
4318,0.0,0.05,-0.05
4340,0.01,0.06,-0.05
4363,0.01,0.04,-0.03
4386,0.02,0.05,-0.03
4409,0.0,0.04,-0.04
4431,0.02,0.05,-0.03
4455,0.01,0.05,-0.03
4477,0.0,0.05,-0.05
4500,0.01,0.05,-0.03
4524,0.01,0.05,-0.04
4546,0.01,0.05,-0.04
4569,0.0,0.04,-0.04
4592,0.01,0.04,-0.03
4615,0.01,0.04,-0.03
4637,0.0,0.05,-0.05
4661,0.0,0.04,-0.04
4683,0.0,0.05,-0.04
4706,0.0,0.05,-0.04
4729,0.0,0.05,-0.04
4752,0.02,0.04,-0.02
4774,0.0,0.04,-0.04
4798,0.01,0.05,-0.04
4820,0.01,0.04,-0.03
4843,0.01,0.05,-0.03
4867,0.01,0.05,-0.04
4889,0.01,0.06,-0.04
4913,0.01,0.04,-0.03
4935,0.01,0.05,-0.04
4958,0.02,0.06,-0.04
4981,0.01,0.05,-0.04
5004,0.01,0.06,-0.05
5026,0.01,0.05,-0.04
5050,0.01,0.04,-0.03
5072,0.0,0.04,-0.04
5095,0.0,0.04,-0.04
5118,0.0,0.04,-0.04
5141,0.0,0.06,-0.06
5164,0.0,0.05,-0.05
5187,0.01,0.05,-0.04
5210,0.0,0.05,-0.05
5232,0.01,0.04,-0.03
5256,0.01,0.06,-0.05
5278,0.01,0.06,-0.05
5301,0.02,0.06,-0.04
5324,0.01,0.05,-0.04
5347,0.01,0.06,-0.05
5369,0.01,0.05,-0.03
5393,0.01,0.05,-0.04
5415,0.0,0.05,-0.04
5438,0.01,0.04,-0.03
5462,0.01,0.05,-0.04
5484,0.01,0.05,-0.04
5507,0.0,0.05,-0.04
5530,0.01,0.05,-0.04
5553,0.01,0.05,-0.04
5575,0.0,0.04,-0.04
5599,0.0,0.04,-0.04
5621,0.0,0.05,-0.05
5645,0.0,0.05,-0.04
5667,0.0,0.04,-0.04
5690,0.01,0.06,-0.04
5713,0.01,0.06,-0.05
5736,0.01,0.06,-0.04
5758,0.01,0.05,-0.04
5782,0.01,0.06,-0.05
5805,0.02,0.06,-0.04
5827,0.01,0.05,-0.03
5851,0.01,0.06,-0.04
5873,0.01,0.06,-0.04
5896,0.01,0.05,-0.04
5919,0.01,0.05,-0.04
5942,0.0,0.05,-0.05
5964,0.0,0.05,-0.05
5988,0.01,0.04,-0.03
6010,0.0,0.04,-0.04
6033,0.0,0.04,-0.04
6056,0.0,0.05,-0.05
6079,0.02,0.04,-0.02
6102,0.0,0.04,-0.04
6125,0.02,0.06,-0.04
6148,0.02,0.05,-0.03
6170,0.01,0.05,-0.04
6194,0.02,0.05,-0.03
6216,0.02,0.06,-0.04
6239,0.01,0.06,-0.04
6262,0.01,0.06,-0.04
6285,0.01,0.05,-0.04
6307,0.0,0.04,-0.04
6331,0.01,0.04,-0.03
6353,0.0,0.05,-0.04
6377,0.0,0.04,-0.04
6400,0.0,0.04,-0.03
6422,0.0,0.05,-0.04
6446,0.01,0.04,-0.03
6468,0.0,0.06,-0.05
6491,0.01,0.05,-0.03
6514,0.0,0.04,-0.04
6537,0.02,0.06,-0.04
6559,0.02,0.05,-0.03
6583,0.01,0.06,-0.05
6605,0.02,0.05,-0.03
6628,0.0,0.05,-0.04
6651,0.01,0.05,-0.04
6674,0.01,0.05,-0.04
6696,0.01,0.05,-0.04
6720,0.01,0.05,-0.03
6743,0.01,0.05,-0.04
6765,0.02,0.05,-0.03
6789,0.01,0.04,-0.03
6811,0.0,0.04,-0.04
6834,0.0,0.04,-0.04
6857,0.0,0.05,-0.04
6880,0.0,0.06,-0.06
6902,0.0,0.05,-0.05
6926,0.02,0.05,-0.03
6948,0.01,0.04,-0.03
6971,0.0,0.04,-0.04
6994,0.0,0.05,-0.05
7017,0.01,0.05,-0.04
7040,0.01,0.06,-0.04
7063,0.01,0.06,-0.05
7086,0.02,0.06,-0.04
7109,0.01,0.05,-0.04
7132,0.02,0.06,-0.04
7154,0.02,0.05,-0.03
7178,0.01,0.05,-0.03
7200,0.01,0.05,-0.04
7223,0.0,0.04,-0.04
7246,0.01,0.05,-0.03
7269,0.01,0.05,-0.04
7291,0.0,0.05,-0.05
7315,0.0,0.03,-0.03
7337,0.01,0.05,-0.04
7360,0.01,0.05,-0.03
7384,0.01,0.04,-0.03
7406,0.0,0.04,-0.04
7429,0.01,0.04,-0.03
7452,0.01,0.05,-0.04
7475,0.01,0.05,-0.04
7497,0.02,0.06,-0.04
7521,0.02,0.05,-0.03
7543,0.02,0.05,-0.03
7566,0.01,0.05,-0.04
7589,0.02,0.06,-0.04
7612,0.01,0.05,-0.04
7634,0.01,0.04,-0.03
7658,0.01,0.06,-0.05
7681,0.01,0.04,-0.03
7703,0.01,0.05,-0.03
7727,0.0,0.04,-0.04
7749,0.0,0.05,-0.05
7772,0.01,0.05,-0.04
7795,0.0,0.04,-0.04
7818,0.0,0.04,-0.04
7841,0.01,0.04,-0.03
7864,0.01,0.04,-0.03
7886,0.01,0.05,-0.04
7910,0.02,0.05,-0.03
7932,0.01,0.06,-0.05
7955,0.01,0.06,-0.04
7979,0.02,0.06,-0.04
8001,0.02,0.05,-0.03
8024,0.01,0.05,-0.04
8047,0.0,0.05,-0.04
8070,0.01,0.04,-0.03
8092,0.0,0.05,-0.04
8116,0.01,0.05,-0.03
8138,0.0,0.05,-0.05
8161,0.0,0.05,-0.05
8184,0.0,0.04,-0.04
8207,0.0,0.06,-0.06
8229,0.0,0.04,-0.04
8253,0.01,0.04,-0.03
8275,0.01,0.05,-0.04
8298,0.0,0.05,-0.05
8322,0.01,0.04,-0.03
8344,0.01,0.06,-0.05
8367,0.02,0.04,-0.02
8390,0.02,0.05,-0.03
8413,0.01,0.06,-0.05
8435,0.02,0.05,-0.03
8459,0.01,0.06,-0.05
8481,0.02,0.05,-0.03
8504,0.01,0.05,-0.04
8527,0.01,0.07,-0.05
8550,0.01,0.06,-0.05
8573,0.01,0.04,-0.03
8596,0.01,0.05,-0.03
8619,0.0,0.04,-0.04
8642,0.0,0.05,-0.04
8665,0.0,0.05,-0.05
8687,0.0,0.05,-0.04
8711,0.0,0.04,-0.04
8733,0.0,0.06,-0.06
8756,0.01,0.05,-0.04
8779,0.01,0.06,-0.05
8802,0.01,0.05,-0.04
8824,0.02,0.05,-0.03
8848,0.01,0.06,-0.05
8870,0.01,0.05,-0.04
8893,0.02,0.05,-0.03
8916,0.01,0.06,-0.04
8939,0.02,0.05,-0.03
8962,0.01,0.05,-0.04
8985,0.02,0.06,-0.04
9008,0.0,0.05,-0.05
9030,0.01,0.05,-0.04
9054,0.0,0.04,-0.04
9076,0.01,0.05,-0.03
9099,0.01,0.05,-0.04
9122,0.01,0.05,-0.04
9145,0.0,0.04,-0.04
9167,0.01,0.05,-0.03
9191,0.0,0.05,-0.04
9213,0.01,0.06,-0.05
9236,0.02,0.04,-0.02
9260,0.02,0.06,-0.04
9282,0.01,0.05,-0.04
9306,0.01,0.06,-0.05
9328,0.01,0.06,-0.05
9351,0.01,0.05,-0.03
9374,0.01,0.05,-0.04
9397,0.01,0.05,-0.04
9419,0.01,0.04,-0.03
9443,0.01,0.04,-0.03
9465,0.0,0.05,-0.05
9488,0.01,0.05,-0.04
9511,0.01,0.05,-0.04
9534,0.01,0.05,-0.03
9556,0.01,0.05,-0.04
9580,0.0,0.06,-0.06
9603,0.0,0.04,-0.04
9625,0.01,0.05,-0.04
9649,0.0,0.04,-0.04
9671,0.0,0.05,-0.04
9694,0.01,0.05,-0.04
9717,0.02,0.06,-0.04
9740,0.01,0.06,-0.04
9762,0.01,0.05,-0.03
9786,0.02,0.06,-0.04
9808,0.01,0.05,-0.04
9831,0.01,0.06,-0.04
9854,0.01,0.05,-0.04
9877,0.01,0.05,-0.03
9900,0.01,0.05,-0.04
9923,0.0,0.05,-0.04
9946,0.01,0.05,-0.04
9968,0.01,0.04,-0.03
9992,0.0,0.05,-0.05
10014,0.01,0.05,-0.03
10039,0.01,0.05,-0.04
10062,0.01,0.06,-0.05
10086,0.02,0.06,-0.04
10110,0.01,0.04,-0.03
10134,0.02,0.05,-0.03
10158,0.01,0.06,-0.04
10182,0.01,0.06,-0.04
10206,0.0,0.05,-0.05
10229,0.01,0.05,-0.04
10254,0.01,0.06,-0.04
10277,0.01,0.05,-0.04
10301,0.0,0.05,-0.05
10326,0.0,0.04,-0.04
10349,0.0,0.05,-0.04
10374,0.01,0.05,-0.03
10397,0.0,0.04,-0.03
10421,0.01,0.05,-0.04
10445,0.02,0.05,-0.03
10469,0.0,0.05,-0.05
10492,0.01,0.05,-0.03
10517,0.01,0.05,-0.04
10541,0.0,0.05,-0.04
10564,0.0,0.05,-0.04
10589,0.0,0.06,-0.05
10612,0.02,0.05,-0.03
10637,0.0,0.05,-0.04
10660,0.0,0.05,-0.05
10684,0.01,0.05,-0.04
10708,0.02,0.06,-0.04
10732,0.01,0.05,-0.04
10756,0.01,0.04,-0.03
10780,0.01,0.07,-0.06
10804,0.0,0.06,-0.05
10827,0.0,0.05,-0.04
10852,0.02,0.05,-0.03
10875,0.02,0.06,-0.04
10899,0.0,0.05,-0.05
10924,0.0,0.04,-0.04
10947,0.0,0.05,-0.04
10972,0.02,0.05,-0.03
10995,0.02,0.05,-0.03
11019,0.0,0.04,-0.04
11043,0.01,0.06,-0.04
11067,0.01,0.05,-0.04
11090,0.01,0.05,-0.03
11115,0.01,0.04,-0.03
11139,0.01,0.05,-0.04
11162,0.0,0.06,-0.05
11187,0.01,0.05,-0.04
11210,0.01,0.04,-0.03
11235,0.01,0.07,-0.05
11258,0.0,0.05,-0.04
11282,0.01,0.04,-0.03
11307,0.01,0.05,-0.04
11330,0.02,0.06,-0.04
11354,0.01,0.05,-0.04
11378,0.01,0.05,-0.04
11402,0.0,0.05,-0.05
11425,0.02,0.05,-0.03
11450,0.0,0.05,-0.04
11473,0.01,0.04,-0.03
11497,0.0,0.05,-0.05
11522,0.02,0.05,-0.03
11545,0.0,0.05,-0.05
11570,0.01,0.05,-0.04
11593,0.02,0.05,-0.03
11617,0.01,0.05,-0.04
11641,0.01,0.04,-0.03
11665,0.01,0.04,-0.03
11688,0.01,0.05,-0.04
11713,0.02,0.05,-0.03
11737,0.01,0.05,-0.04
11760,0.01,0.05,-0.04
11785,0.01,0.05,-0.04
11808,0.01,0.06,-0.05
11832,0.01,0.05,-0.04
11856,0.01,0.05,-0.04
11880,0.02,0.06,-0.04
11905,0.01,0.04,-0.03
11928,0.0,0.05,-0.04
11952,0.01,0.05,-0.03
11976,0.01,0.05,-0.04
12000,0.01,0.05,-0.04
12023,0.01,0.04,-0.03
12048,0.01,0.05,-0.04
12071,0.01,0.06,-0.05
12095,0.01,0.05,-0.04
12120,0.01,0.06,-0.05
12143,0.01,0.05,-0.04
12168,0.02,0.05,-0.03
12191,0.0,0.04,-0.04
12215,0.01,0.05,-0.04
12239,0.01,0.06,-0.05
12263,0.0,0.05,-0.04
12286,0.0,0.05,-0.04
12311,0.01,0.05,-0.04
12335,0.0,0.06,-0.05
12358,0.0,0.05,-0.05
12383,0.0,0.04,-0.04
12406,0.02,0.06,-0.04
12430,0.01,0.06,-0.05
12454,0.01,0.04,-0.03
12478,0.01,0.04,-0.03
12503,0.02,0.05,-0.03
12526,0.01,0.06,-0.04
12550,0.01,0.05,-0.04
12574,0.0,0.04,-0.04
12598,0.02,0.06,-0.04
12621,0.0,0.05,-0.04
12646,0.01,0.05,-0.04
12669,0.02,0.06,-0.04
12693,0.02,0.05,-0.03
12718,0.01,0.05,-0.04
12741,0.0,0.04,-0.04
12766,0.02,0.05,-0.03
12789,0.02,0.05,-0.03
12813,0.01,0.04,-0.03
12837,0.0,0.05,-0.04
12861,0.01,0.06,-0.04
12884,0.02,0.04,-0.02
12909,0.0,0.05,-0.05
12933,0.01,0.06,-0.04
12956,0.01,0.05,-0.04
12981,0.01,0.05,-0.04
13004,0.01,0.05,-0.04
13028,0.01,0.05,-0.04
13052,0.02,0.05,-0.03
13076,0.01,0.04,-0.03
13101,0.0,0.05,-0.04
13124,0.02,0.05,-0.03
13148,0.02,0.05,-0.03
13172,0.0,0.05,-0.04
13196,0.01,0.05,-0.04
13219,0.01,0.06,-0.05
13244,0.01,0.06,-0.05
13267,0.0,0.05,-0.05
13291,0.01,0.05,-0.04
13316,0.02,0.05,-0.03
13339,0.02,0.04,-0.02
13363,0.01,0.06,-0.04
13387,0.01,0.04,-0.03
13411,0.01,0.05,-0.04
13435,0.01,0.05,-0.04
13459,0.01,0.04,-0.03
13483,0.01,0.06,-0.05
13507,0.0,0.06,-0.05
13531,0.01,0.06,-0.05
13554,0.01,0.04,-0.03
13579,0.02,0.06,-0.04
13602,0.01,0.06,-0.05
13626,0.0,0.05,-0.05
13650,0.01,0.05,-0.04
13674,0.01,0.06,-0.04
13699,0.02,0.04,-0.02
13722,0.01,0.05,-0.04
13746,0.02,0.05,-0.03
13770,0.01,0.05,-0.04
13794,0.01,0.05,-0.04
13817,0.01,0.04,-0.02
13842,0.0,0.05,-0.04
13865,0.01,0.06,-0.04
13889,0.01,0.06,-0.05
13914,0.01,0.05,-0.04
13937,0.01,0.06,-0.05
13961,0.0,0.05,-0.04
13985,0.0,0.05,-0.05
14009,0.0,0.03,-0.03
14033,0.01,0.05,-0.03
14057,0.01,0.06,-0.04
14081,0.0,0.05,-0.04
14105,0.0,0.05,-0.05
14129,0.02,0.05,-0.03
14152,0.0,0.05,-0.04
14177,0.01,0.05,-0.04
14200,0.01,0.05,-0.04
14224,0.01,0.06,-0.04
14248,0.0,0.05,-0.04
14272,0.01,0.05,-0.03
14297,0.02,0.06,-0.04
14320,0.02,0.06,-0.04
14344,0.01,0.05,-0.04
14368,0.01,0.04,-0.03
14392,0.01,0.05,-0.04
14415,0.01,0.05,-0.03
14440,0.0,0.04,-0.04
14464,0.01,0.04,-0.03
14487,0.01,0.05,-0.03
14512,0.0,0.05,-0.04
14535,0.0,0.04,-0.04
14559,0.01,0.05,-0.04
14583,0.01,0.06,-0.05
14607,0.0,0.04,-0.04
14631,0.0,0.04,-0.03
14655,0.01,0.05,-0.04
14679,0.01,0.05,-0.04
14703,0.01,0.04,-0.03
14727,0.0,0.05,-0.04
14750,0.0,0.04,-0.04
14775,0.02,0.05,-0.03
14798,0.0,0.05,-0.05
14822,0.01,0.04,-0.03
14846,0.01,0.05,-0.04
14870,0.01,0.05,-0.04
14894,0.0,0.05,-0.05
14918,0.01,0.04,-0.03
14942,0.01,0.05,-0.04
14966,0.01,0.06,-0.05
14990,0.01,0.05,-0.04
15013,0.02,0.05,-0.03
15038,0.01,0.05,-0.04
15062,0.0,0.06,-0.05
15085,0.01,0.05,-0.04
15110,0.01,0.06,-0.05
15133,0.02,0.06,-0.04
15157,0.0,0.04,-0.04
15181,0.01,0.05,-0.04
15205,0.01,0.05,-0.04
15229,0.02,0.06,-0.04
15253,0.01,0.04,-0.03
15277,0.0,0.05,-0.04
15301,0.01,0.06,-0.04
15325,0.01,0.05,-0.04
15348,0.0,0.05,-0.04
15373,0.01,0.04,-0.03
15396,0.01,0.05,-0.04
15420,0.0,0.04,-0.04
15444,0.0,0.05,-0.05
15468,0.01,0.05,-0.04
15492,0.01,0.05,-0.04
15516,0.01,0.04,-0.03
15540,0.0,0.04,-0.04
15564,0.02,0.05,-0.03
15588,0.01,0.06,-0.05
15611,0.01,0.04,-0.03
15636,0.01,0.04,-0.03
15660,0.01,0.04,-0.03
15683,0.01,0.04,-0.03
15708,0.0,0.04,-0.04
15731,0.0,0.05,-0.04
15755,0.01,0.05,-0.04
15779,0.01,0.04,-0.03
15803,0.0,0.04,-0.04
15827,0.0,0.05,-0.04
15851,0.01,0.06,-0.05
15875,0.01,0.04,-0.03
15899,0.01,0.05,-0.04
15923,0.01,0.05,-0.04
15946,0.01,0.06,-0.05
15971,0.01,0.04,-0.03
15994,0.0,0.05,-0.05
16018,0.01,0.06,-0.05
16043,0.01,0.05,-0.04
16066,0.0,0.05,-0.05
16090,0.01,0.04,-0.03
16114,0.02,0.05,-0.03
16138,0.01,0.04,-0.03
16162,0.0,0.05,-0.05
16186,0.01,0.05,-0.03
16209,0.02,0.05,-0.03
16234,0.02,0.05,-0.03
16258,0.01,0.05,-0.04
16281,0.01,0.05,-0.04
16306,0.01,0.05,-0.03
16329,0.0,0.04,-0.04
16353,0.01,0.05,-0.04
16377,0.01,0.05,-0.04
16401,0.01,0.04,-0.03
16424,0.0,0.05,-0.05
16449,0.0,0.07,-0.06
16473,0.01,0.05,-0.03
16497,0.02,0.04,-0.02
16521,0.0,0.06,-0.05
16544,0.01,0.04,-0.03
16569,0.01,0.05,-0.04
16592,0.0,0.04,-0.04
16616,0.0,0.04,-0.04
16641,0.0,0.04,-0.04
16664,0.01,0.05,-0.03
16688,0.01,0.04,-0.03
16712,0.0,0.04,-0.04
16736,0.01,0.05,-0.04
16760,0.02,0.06,-0.04
16784,0.01,0.04,-0.03
16807,0.01,0.04,-0.03
16832,0.01,0.05,-0.04
16856,0.01,0.05,-0.04
16879,0.01,0.05,-0.04
16904,0.0,0.04,-0.03
16927,0.02,0.09,-0.07
16951,0.0,0.06,-0.05
16975,0.01,0.05,-0.04
16999,0.01,0.04,-0.03
17022,0.01,0.06,-0.05
17047,0.01,0.05,-0.04
17071,0.0,0.05,-0.04
17095,0.02,0.05,-0.03
17119,0.01,0.05,-0.04
17142,0.01,0.04,-0.03
17167,0.01,0.04,-0.03
17190,0.01,0.07,-0.05
17214,0.02,0.05,-0.03
17239,0.0,0.05,-0.05
17262,0.01,0.04,-0.03
17286,0.01,0.05,-0.04
17310,0.01,0.05,-0.04
17334,0.01,0.05,-0.04
17358,0.01,0.05,-0.04
17382,0.02,0.06,-0.04
17405,0.0,0.05,-0.04
17430,0.01,0.04,-0.03
17454,0.02,0.05,-0.03
17477,0.02,0.05,-0.03
17502,0.01,0.05,-0.04
17525,0.0,0.03,-0.03
17549,0.01,0.06,-0.05
17573,0.01,0.04,-0.03
17597,0.0,0.04,-0.04
17620,0.01,0.05,-0.04
17645,0.02,0.05,-0.03
17669,0.01,0.05,-0.04
17693,0.0,0.05,-0.04
17717,0.01,0.05,-0.04
17740,0.01,0.05,-0.03
17765,0.02,0.05,-0.03
17788,0.0,0.05,-0.05
17812,0.01,0.04,-0.03
17837,0.01,0.05,-0.04
17860,0.0,0.06,-0.05
17884,0.01,0.05,-0.04
17908,0.02,0.05,-0.03
17932,0.01,0.05,-0.04
17955,0.0,0.05,-0.04
17980,0.0,0.05,-0.05
18003,0.01,0.05,-0.04
18028,0.02,0.05,-0.03
18052,0.0,0.05,-0.04
18075,0.01,0.05,-0.04
18100,0.02,0.06,-0.04
18123,0.01,0.06,-0.05
18147,0.0,0.04,-0.04
18171,0.01,0.06,-0.05
18195,0.01,0.05,-0.04
18219,0.0,0.05,-0.04
18243,0.0,0.04,-0.04
18267,0.0,0.05,-0.04
18291,0.01,0.05,-0.03
18315,0.0,0.05,-0.04
18338,0.0,0.05,-0.05
18363,0.01,0.06,-0.05
18386,0.01,0.06,-0.05
18410,0.0,0.04,-0.04
18435,0.01,0.04,-0.03
18458,0.02,0.05,-0.03
18482,0.02,0.04,-0.02
18506,0.0,0.05,-0.05
18530,0.01,0.04,-0.03
18553,0.01,0.06,-0.04
18578,0.01,0.04,-0.03
18601,0.0,0.05,-0.05
18626,0.01,0.04,-0.03
18650,0.01,0.05,-0.04
18673,0.0,0.05,-0.04
18698,0.0,0.04,-0.04
18721,0.01,0.05,-0.04
18745,0.01,0.06,-0.05
18769,0.01,0.04,-0.03
18793,0.0,0.05,-0.05
18817,0.01,0.05,-0.04
18841,0.0,0.04,-0.04
18865,0.0,0.04,-0.04
18889,0.0,0.05,-0.04
18913,0.01,0.05,-0.04
18936,0.01,0.04,-0.03
18961,0.0,0.05,-0.05
18984,0.0,0.05,-0.04
19008,0.02,0.06,-0.04
19033,0.0,0.05,-0.04
19056,0.01,0.04,-0.03
19080,0.02,0.05,-0.03
19104,0.0,0.05,-0.04
19128,0.0,0.04,-0.04
19151,0.0,0.05,-0.05
19176,0.02,0.06,-0.04
19200,0.01,0.05,-0.04
19224,0.0,0.05,-0.05
19248,0.01,0.05,-0.04
19271,0.01,0.05,-0.04
19296,0.02,0.06,-0.04
19319,0.01,0.04,-0.03
19343,0.0,0.05,-0.05
19367,0.01,0.05,-0.03
19391,0.01,0.06,-0.05
19415,0.0,0.05,-0.05
19439,0.01,0.05,-0.04
19463,0.02,0.06,-0.04
19486,0.01,0.04,-0.03
19511,0.0,0.05,-0.05
19534,0.01,0.06,-0.05
19559,0.02,0.06,-0.04
19582,0.0,0.05,-0.04
19606,0.0,0.05,-0.04
19631,0.01,0.05,-0.04
19654,0.02,0.05,-0.03
19678,0.0,0.04,-0.04
19702,0.01,0.05,-0.04
19726,0.01,0.06,-0.04
19749,0.01,0.04,-0.03
19774,0.0,0.04,-0.04
19798,0.01,0.05,-0.04
19822,0.02,0.05,-0.03
19846,0.0,0.04,-0.04
19869,0.0,0.04,-0.04
19894,0.01,0.05,-0.04
19917,0.01,0.05,-0.04
19941,0.0,0.04,-0.04
19965,0.01,0.04,-0.03
19989,0.01,0.05,-0.04
20013,0.01,0.05,-0.04
20037,0.01,0.05,-0.04
20061,0.01,0.05,-0.04
20084,0.01,0.05,-0.03
20109,0.01,0.05,-0.04
20132,0.01,0.05,-0.04
20157,0.01,0.05,-0.04
20180,0.02,0.06,-0.04
20204,0.0,0.04,-0.04
20229,0.0,0.04,-0.04
20252,0.01,0.05,-0.03
20276,0.02,0.05,-0.03
20300,0.0,0.05,-0.05
20324,0.0,0.05,-0.05
20347,0.02,0.06,-0.04
