time, tp_a, tp_b, diff

0,0.15,0.14,0.00
1,0.15,0.15,0.0
2,0.15,0.14,0.01
3,0.15,0.15,0.0
8,0.14,0.14,0.0
26,0.14,0.15,-0.01
47,0.15,0.14,0.01
67,0.15,0.13,0.02
87,0.15,0.13,0.01
106,0.14,0.14,0.0
128,0.14,0.15,-0.01
149,0.14,0.14,0.0
169,0.15,0.15,-0.0
192,0.14,0.14,0.0
212,0.14,0.13,0.01
233,0.14,0.15,-0.0
256,0.15,0.15,0.0
276,0.14,0.14,0.0
296,0.14,0.14,0.0
317,0.15,0.13,0.01
338,0.15,0.14,0.01
359,0.14,0.15,-0.0
380,0.15,0.14,0.01
402,0.16,0.15,0.01
422,0.14,0.13,0.01
443,0.15,0.13,0.01
464,0.15,0.14,0.0
485,0.14,0.14,0.0
505,0.15,0.14,0.01
527,0.15,0.15,0.0
547,0.15,0.14,0.01
568,0.15,0.16,-0.01
590,0.14,0.15,-0.0
612,0.15,0.19,-0.03
633,0.14,0.23,-0.09
656,0.16,0.23,-0.08
677,0.16,0.24,-0.09
699,0.15,0.25,-0.1
721,0.16,0.26,-0.1
743,0.15,0.27,-0.12
764,0.15,0.27,-0.12
787,0.16,0.27,-0.12
808,0.15,0.27,-0.12
830,0.15,0.27,-0.12
852,0.15,0.27,-0.12
874,0.14,0.28,-0.14
896,0.15,0.28,-0.13
918,0.15,0.29,-0.14
940,0.14,0.28,-0.14
961,0.14,0.28,-0.14
983,0.16,0.28,-0.12
1005,0.16,0.28,-0.12
1028,0.15,0.28,-0.13
1051,0.15,0.28,-0.13
1074,0.15,0.29,-0.14
1096,0.15,0.28,-0.14
1120,0.16,0.29,-0.13
1142,0.15,0.29,-0.15
1165,0.15,0.29,-0.14
1188,0.15,0.29,-0.14
1211,0.15,0.29,-0.14
1233,0.16,0.29,-0.13
1257,0.15,0.3,-0.16
1280,0.15,0.29,-0.14
1302,0.15,0.29,-0.14
1326,0.16,0.29,-0.13
1348,0.15,0.28,-0.13
1371,0.16,0.28,-0.13
1394,0.16,0.3,-0.14
1417,0.16,0.29,-0.13
1439,0.16,0.29,-0.14
1463,0.16,0.29,-0.14
1485,0.16,0.3,-0.14
1508,0.16,0.29,-0.14
1531,0.15,0.29,-0.15
1554,0.15,0.3,-0.16
1576,0.15,0.3,-0.15
1600,0.15,0.31,-0.16
1623,0.15,0.31,-0.16
1645,0.15,0.3,-0.16
1669,0.15,0.3,-0.15
1691,0.15,0.29,-0.14
1714,0.15,0.29,-0.14
1737,0.15,0.17,-0.02
1760,0.15,0.23,-0.09
1783,0.14,0.26,-0.12
1806,0.13,0.22,-0.09
1828,0.14,0.13,0.01
1851,0.15,0.15,0.0
1872,0.14,0.14,0.0
1894,0.15,0.15,0.0
1916,0.14,0.14,0.0
1938,0.15,0.14,0.01
1959,0.14,0.15,-0.0
1983,0.15,0.14,0.0
2004,0.15,0.14,0.0
2026,0.13,0.14,-0.0
2050,0.14,0.14,-0.0
2072,0.14,0.14,0.0
2094,0.15,0.15,0.0
2116,0.14,0.15,-0.0
2139,0.13,0.13,0.0
2160,0.14,0.14,0.0
2183,0.15,0.14,0.01
2204,0.15,0.14,0.01
2226,0.15,0.15,0.0
2247,0.14,0.13,0.01
2270,0.13,0.14,-0.0
2292,0.13,0.14,-0.0
2316,0.14,0.15,-0.0
2338,0.15,0.15,0.0
2360,0.15,0.14,0.01
2382,0.13,0.13,0.0
2404,0.15,0.15,0.0
2425,0.15,0.13,0.01
2447,0.13,0.13,0.0
2469,0.14,0.14,0.0
2491,0.15,0.15,0.0
2512,0.15,0.14,0.0
2535,0.15,0.14,0.01
2556,0.13,0.14,-0.01
2579,0.13,0.14,-0.01
2603,0.15,0.14,0.01
2624,0.14,0.14,0.0
2646,0.13,0.14,-0.01
2669,0.15,0.14,0.01
2691,0.14,0.15,-0.0
2713,0.14,0.14,0.0
2736,0.15,0.14,0.0
2757,0.13,0.14,-0.0
2780,0.14,0.13,0.01
2802,0.14,0.14,0.0
2824,0.15,0.13,0.01
2845,0.13,0.14,-0.01
2869,0.14,0.14,0.0
2890,0.15,0.13,0.01
2912,0.14,0.13,0.01
2934,0.14,0.14,0.0
2956,0.15,0.13,0.02
2977,0.13,0.13,0.0
3000,0.14,0.14,0.0
3021,0.15,0.14,0.01
3043,0.13,0.14,-0.01
3066,0.14,0.14,-0.0
3089,0.14,0.14,0.0
3110,0.14,0.15,-0.0
3134,0.13,0.13,0.0
3155,0.13,0.14,-0.01
3178,0.13,0.15,-0.01
3202,0.13,0.14,-0.0
3224,0.13,0.14,-0.01
3248,0.14,0.15,-0.01
3270,0.14,0.15,-0.01
3293,0.14,0.14,0.0
3315,0.13,0.13,0.0
3337,0.14,0.14,0.0
3358,0.13,0.14,-0.0
3382,0.14,0.14,0.0
3403,0.0,0.0,0.0
3425,0.0,0.02,-0.02
3448,0.0,0.04,-0.04
3471,0.0,0.04,-0.04
3493,0.0,0.04,-0.04
3517,0.0,0.04,-0.03
3539,0.0,0.04,-0.03
3562,0.0,0.03,-0.03
3586,0.01,0.04,-0.03
3608,0.01,0.04,-0.03
