time, tp_a, tp_b, diff
4540,0.01,0.06,-0.05
4562,0.0,0.05,-0.05
4586,0.01,0.06,-0.05
4609,0.0,0.06,-0.06
4631,0.01,0.04,-0.03
4655,0.03,0.05,-0.02
4677,0.01,0.04,-0.02
4700,0.0,0.05,-0.04
4723,0.0,0.04,-0.04
4746,0.02,0.04,-0.02
4768,0.02,0.04,-0.02
4792,0.02,0.05,-0.03
4814,0.03,0.06,-0.03
4837,0.02,0.06,-0.04
4860,0.02,0.06,-0.04
4883,0.01,0.05,-0.04
4905,0.01,0.07,-0.06
4929,0.01,0.05,-0.04
4952,0.02,0.05,-0.03
4974,0.02,0.05,-0.03
4998,0.01,0.05,-0.04
5020,0.01,0.04,-0.03
5044,0.01,0.04,-0.03
5066,0.01,0.05,-0.04
5089,0.01,0.05,-0.04
5112,0.0,0.05,-0.04
5135,0.02,0.04,-0.02
5157,0.0,0.05,-0.04
5181,0.02,0.06,-0.04
5203,0.01,0.06,-0.05
5226,0.02,0.06,-0.03
5250,0.02,0.06,-0.04
5272,0.02,0.05,-0.02
5295,0.01,0.05,-0.04
5318,0.02,0.05,-0.03
5341,0.02,0.06,-0.04
5363,0.01,0.06,-0.05
5387,0.01,0.05,-0.03
5409,0.01,0.05,-0.04
5432,0.0,0.03,-0.03
5455,0.0,0.05,-0.05
5478,0.01,0.04,-0.03
5500,0.0,0.04,-0.04
5524,0.02,0.05,-0.03
5547,0.01,0.05,-0.04
5569,0.02,0.06,-0.04
5593,0.01,0.05,-0.04
5615,0.02,0.06,-0.04
5638,0.03,0.05,-0.02
5661,0.0,0.06,-0.05
5684,0.02,0.05,-0.02
5706,0.01,0.05,-0.04
5730,0.03,0.07,-0.04
5752,0.01,0.06,-0.05
5776,0.0,0.06,-0.05
5798,0.0,0.05,-0.05
5821,0.0,0.05,-0.05
5844,0.01,0.04,-0.03
5867,0.01,0.05,-0.03
5890,0.0,0.05,-0.05
5913,0.0,0.05,-0.05
5936,0.0,0.05,-0.05
5958,0.0,0.04,-0.04
5982,0.01,0.06,-0.04
6004,0.02,0.05,-0.03
6027,0.02,0.06,-0.04
6050,0.02,0.05,-0.02
6073,0.02,0.06,-0.04
6095,0.02,0.06,-0.04
6119,0.02,0.05,-0.03
6141,0.02,0.06,-0.04
6164,0.02,0.04,-0.02
6188,0.01,0.06,-0.04
6210,0.01,0.05,-0.04
6233,0.0,0.07,-0.06
6256,0.01,0.05,-0.04
6279,0.01,0.04,-0.03
6301,0.0,0.05,-0.05
6325,0.0,0.04,-0.03
6347,0.01,0.05,-0.04
6370,0.02,0.04,-0.01
6393,0.01,0.04,-0.03
6416,0.02,0.04,-0.02
6438,0.02,0.04,-0.02
6462,0.02,0.06,-0.04
6484,0.02,0.06,-0.03
6508,0.02,0.05,-0.03
6531,0.01,0.05,-0.03
6553,0.02,0.05,-0.03
6577,0.02,0.05,-0.03
6599,0.01,0.06,-0.04
6622,0.02,0.05,-0.03
6645,0.0,0.05,-0.05
6668,0.01,0.05,-0.04
6690,0.01,0.04,-0.03
6714,0.01,0.05,-0.04
6736,0.01,0.05,-0.04
6759,0.0,0.04,-0.04
6782,0.0,0.05,-0.04
6805,0.01,0.05,-0.04
6828,0.01,0.04,-0.03
6851,0.01,0.06,-0.05
6874,0.01,0.06,-0.05
6896,0.01,0.06,-0.04
6920,0.01,0.05,-0.04
6942,0.01,0.06,-0.05
6965,0.03,0.05,-0.02
6988,0.03,0.05,-0.02
7011,0.02,0.06,-0.04
7033,0.01,0.05,-0.04
7057,0.02,0.05,-0.03
7079,0.01,0.05,-0.04
7102,0.01,0.06,-0.04
7126,0.01,0.05,-0.04
7148,0.0,0.05,-0.04
7171,0.01,0.05,-0.04
7194,0.01,0.05,-0.04
7217,0.01,0.04,-0.03
7240,0.01,0.05,-0.04
7263,0.0,0.06,-0.06
7285,0.01,0.06,-0.05
7309,0.02,0.06,-0.04
7331,0.01,0.06,-0.05
7354,0.02,0.06,-0.03
7377,0.02,0.06,-0.04
7400,0.02,0.06,-0.04
7422,0.01,0.05,-0.04
7446,0.02,0.05,-0.03
7469,0.02,0.05,-0.03
7491,0.01,0.07,-0.06
7515,0.02,0.05,-0.03
7537,0.01,0.04,-0.03
7560,0.01,0.05,-0.03
7583,0.01,0.04,-0.03
7606,0.02,0.04,-0.02
7628,0.01,0.06,-0.05
7652,0.01,0.05,-0.04
7674,0.01,0.04,-0.03
7697,0.01,0.05,-0.04
7720,0.02,0.05,-0.03
7743,0.02,0.05,-0.03
7766,0.01,0.06,-0.05
7789,0.01,0.06,-0.05
7812,0.02,0.06,-0.04
7834,0.02,0.07,-0.04
7858,0.02,0.06,-0.04
7880,0.02,0.05,-0.03
7903,0.0,0.05,-0.05
7926,0.01,0.04,-0.03
7949,0.0,0.05,-0.05
7972,0.01,0.05,-0.03
7995,0.01,0.05,-0.03
8017,0.01,0.04,-0.03
8041,0.01,0.05,-0.04
8064,0.01,0.05,-0.04
8086,0.0,0.05,-0.05
8110,0.01,0.06,-0.05
8132,0.03,0.06,-0.03
8155,0.02,0.04,-0.02
8178,0.01,0.06,-0.04
8201,0.02,0.05,-0.03
8223,0.02,0.07,-0.05
8247,0.02,0.06,-0.04
8269,0.01,0.05,-0.04
8292,0.01,0.06,-0.05
8315,0.01,0.04,-0.03
8338,0.01,0.05,-0.04
8360,0.01,0.05,-0.03
8384,0.01,0.04,-0.03
8407,0.01,0.05,-0.03
8429,0.0,0.04,-0.03
8453,0.01,0.04,-0.03
8475,0.0,0.05,-0.04
8498,0.01,0.06,-0.05
8521,0.02,0.05,-0.03
8544,0.0,0.06,-0.05
8566,0.02,0.06,-0.04
8590,0.01,0.06,-0.05
8612,0.02,0.05,-0.03
8635,0.02,0.05,-0.03
8658,0.01,0.05,-0.04
8681,0.02,0.06,-0.04
8705,0.02,0.06,-0.04
8727,0.01,0.06,-0.04
8750,0.02,0.05,-0.03
8773,0.01,0.05,-0.04
8796,0.0,0.05,-0.05
8818,0.01,0.05,-0.04
8842,0.01,0.05,-0.04
8864,0.0,0.05,-0.05
8887,0.02,0.05,-0.03
8910,0.0,0.05,-0.05
8933,0.01,0.05,-0.04
8955,0.02,0.05,-0.03
