time, tp_a, tp_b, diff

0,0.15,0.15.1,0.00
1,0.15,0.15,0.0
2,0.15,0.14,0.0
3,0.13,0.13,0.0
8,0.14,0.14,0.0
26,0.15,0.14,0.0
46,0.14,0.15,-0.0
67,0.14,0.13,0.01
87,0.13,0.13,0.0
106,0.15,0.14,0.01
128,0.14,0.14,0.0
148,0.14,0.14,0.0
168,0.14,0.13,0.01
190,0.14,0.13,0.0
210,0.14,0.15,-0.0
232,0.13,0.14,-0.0
254,0.13,0.14,-0.0
276,0.14,0.15,-0.01
297,0.15,0.14,0.0
319,0.14,0.15,-0.01
340,0.14,0.14,0.0
361,0.14,0.15,-0.0
382,0.14,0.13,0.01
404,0.15,0.15,0.0
424,0.13,0.14,-0.01
446,0.14,0.14,0.0
467,0.14,0.17,-0.03
489,0.14,0.17,-0.03
510,0.13,0.19,-0.06
533,0.15,0.2,-0.05
555,0.15,0.21,-0.06
576,0.15,0.13,0.02
598,0.14,0.13,0.0
618,0.15,0.14,0.0
638,0.14,0.14,0.0
660,0.14,0.13,0.01
680,0.15,0.14,0.01
701,0.14,0.15,-0.01
723,0.14,0.15,-0.01
745,0.15,0.15,0.0
765,0.14,0.13,0.0
787,0.13,0.13,0.0
807,0.14,0.14,0.0
828,0.14,0.14,0.0
848,0.15,0.14,0.01
870,0.14,0.13,0.0
890,0.15,0.14,0.0
911,0.14,0.14,-0.0
933,0.14,0.15,-0.0
955,0.13,0.16,-0.02
976,0.15,0.15,0.0
998,0.14,0.13,0.01
1018,0.14,0.14,-0.0
1041,0.15,0.14,0.01
1063,0.13,0.14,-0.0
1086,0.14,0.15,-0.01
1108,0.13,0.13,0.0
1131,0.14,0.14,-0.0
1154,0.15,0.14,0.0
1175,0.16,0.14,0.01
1198,0.14,0.15,-0.0
1220,0.15,0.15,0.0
1242,0.14,0.15,-0.01
1265,0.13,0.15,-0.02
1288,0.15,0.15,0.0
1309,0.14,0.14,0.0
1332,0.15,0.15,0.0
1353,0.13,0.14,-0.0
1376,0.14,0.14,-0.0
1399,0.14,0.14,-0.0
1422,0.13,0.14,-0.0
1444,0.14,0.14,0.0
1467,0.14,0.15,-0.0
