time, tp_a, tp_b, diff

1,0.13,0.19,-0.06
2,0.12,0.19,-0.07
3,0.13,0.18,-0.05
12,0.13,0.17,-0.04
32,0.13,0.19,-0.06
54,0.13,0.2,-0.07
74,0.13,0.19,-0.06
95,0.13,0.2,-0.07
115,0.13,0.19,-0.05
138,0.13,0.19,-0.06
159,0.13,0.12,0.01
180,0.12,0.17,-0.05
202,0.13,0.17,-0.04
224,0.12,0.19,-0.06
245,0.12,0.2,-0.07
268,0.13,0.2,-0.07
289,0.13,0.2,-0.07
311,0.12,0.2,-0.08
333,0.13,0.19,-0.05
355,0.13,0.2,-0.07
376,0.13,0.18,-0.05
399,0.13,0.19,-0.05
420,0.14,0.19,-0.04
442,0.13,0.2,-0.07
464,0.13,0.2,-0.07
486,0.14,0.21,-0.07
507,0.13,0.21,-0.07
530,0.13,0.19,-0.06
551,0.15,0.2,-0.05
573,0.13,0.2,-0.07
595,0.13,0.18,-0.05
617,0.14,0.2,-0.05
638,0.14,0.19,-0.05
661,0.13,0.19,-0.05
683,0.14,0.2,-0.06
704,0.13,0.21,-0.08
727,0.13,0.21,-0.07
748,0.16,0.2,-0.04
770,0.14,0.2,-0.06
792,0.14,0.2,-0.06
814,0.13,0.19,-0.06
835,0.13,0.19,-0.05
858,0.13,0.2,-0.06
879,0.14,0.19,-0.05
901,0.14,0.18,-0.04
923,0.13,0.2,-0.07
945,0.13,0.19,-0.06
966,0.13,0.22,-0.08
989,0.14,0.2,-0.06
1010,0.13,0.21,-0.08
1033,0.12,0.2,-0.07
1056,0.13,0.2,-0.07
1079,0.13,0.18,-0.05
1101,0.14,0.19,-0.05
1125,0.14,0.2,-0.06
1147,0.14,0.2,-0.06
1170,0.14,0.21,-0.07
1193,0.13,0.19,-0.06
1216,0.13,0.18,-0.05
1239,0.13,0.18,-0.05
1262,0.13,0.19,-0.06
1285,0.14,0.2,-0.06
1307,0.13,0.2,-0.07
1331,0.14,0.21,-0.06
1353,0.14,0.19,-0.05
1376,0.13,0.18,-0.05
1399,0.13,0.17,-0.04
1422,0.13,0.2,-0.07
1444,0.14,0.2,-0.06
1468,0.12,0.21,-0.08
1490,0.13,0.2,-0.07
1513,0.13,0.2,-0.06
1537,0.13,0.18,-0.05
1559,0.14,0.18,-0.04
1582,0.13,0.19,-0.06
1605,0.14,0.2,-0.06
1628,0.14,0.2,-0.06
1651,0.13,0.2,-0.07
1674,0.13,0.18,-0.05
1696,0.14,0.18,-0.04
1720,0.12,0.2,-0.08
1742,0.12,0.2,-0.07
1765,0.13,0.2,-0.07
1788,0.13,0.2,-0.07
1811,0.13,0.2,-0.07
1833,0.13,0.21,-0.08
1857,0.0,0.02,-0.02
1880,0.0,0.02,-0.02
1902,0.0,0.07,-0.07
1926,0.0,0.12,-0.12
1948,0.01,0.16,-0.15
1971,0.0,0.14,-0.13
1994,0.0,0.08,-0.08
2017,0.0,0.0,-0.0
2039,0.0,0.02,-0.02
2063,0.0,0.07,-0.07
2085,0.02,0.13,-0.11
2108,0.01,0.16,-0.14
2131,0.0,0.13,-0.13
2154,0.0,0.09,-0.09
2177,0.0,0.03,-0.03
2200,0.01,0.02,-0.01
2223,0.0,0.07,-0.06
2245,0.01,0.13,-0.12
2269,0.02,0.16,-0.14
2291,0.02,0.13,-0.11
2315,0.01,0.09,-0.08
2337,0.0,0.06,-0.06
2360,0.0,0.05,-0.04
2383,0.0,0.07,-0.07
2406,0.0,0.13,-0.12
2428,0.01,0.17,-0.15
2452,0.01,0.15,-0.14
2475,0.02,0.07,-0.05
2497,0.01,0.05,-0.04
2521,0.0,0.04,-0.04
2543,0.02,0.08,-0.06
2566,0.01,0.15,-0.14
2589,0.01,0.2,-0.18
2612,0.01,0.15,-0.14
2634,0.02,0.08,-0.06
2658,0.0,0.08,-0.08
2680,0.0,0.04,-0.03
2703,0.01,0.07,-0.06
2726,0.01,0.16,-0.14
2749,0.02,0.17,-0.15
2771,0.02,0.13,-0.11
2795,0.01,0.07,-0.06
2818,0.01,0.04,-0.03
2840,0.02,0.04,-0.02
2864,0.01,0.09,-0.08
2886,0.01,0.18,-0.17
2909,0.02,0.11,-0.09
2932,0.0,0.12,-0.11
2955,0.02,0.09,-0.07
2977,0.0,0.04,-0.04
3001,0.0,0.04,-0.04
3023,0.0,0.08,-0.08
3047,0.02,0.19,-0.17
3069,0.01,0.19,-0.18
